Drug_A,Drug_B,Level
Atracurium,Garlic,No Interaction
Proguanil,Sarilumab,No Interaction
Benzthiazide,Irinotecan (liposomal),No Interaction
Tositumomab,Ustekinumab,Moderate
Leucovorin,Ibuprofen,Unknown
Pantoprazole,Tolevamer,Moderate
Darolutamide,Oxybutynin,No Interaction
Mannitol,Atracurium,Moderate
Alprazolam,Methylprednisolone (topical),No Interaction
Ciprofloxacin,Acetylcysteine,Unknown
Gemifloxacin,Lanthanum carbonate,Moderate
Dihydrocodeine,Hydroxyurea,No Interaction
Isosorbide dinitrate,Acetylcysteine,Unknown
Chloramphenicol,Tolbutamide,Moderate
Valaciclovir,Ioxilan,Major
Gentamicin,Acetylcysteine,Unknown
Azatadine,Iodide I-123,Moderate
Eplerenone,Ethanol,Moderate
Erythromycin,Mannitol,Unknown
Ibandronate,Typhoid vaccine (live),No Interaction
Sotalol,Tolbutamide,Moderate
Rilpivirine,Macimorelin,Major
Diltiazem,Tolmetin,No Interaction
Calcium acetate,Sodium ferric gluconate complex,No Interaction
Iopamidol,Remdesivir,Moderate
Everolimus,Ferumoxytol,No Interaction
Treprostinil,Deferasirox,Major
Insulin aspart (aspart),Talazoparib,No Interaction
Coenzyme M,Diazoxide,No Interaction
Dasatinib,Phenylbutazone,No Interaction
Abametapir (topical),Avatrombopag,No Interaction
Flurandrenolide (topical),Lusutrombopag,No Interaction
Dexbrompheniramine,Indapamide,No Interaction
Inotuzumab ozogamicin,Tetrofosmin,No Interaction
Flunisolide (nasal),Insulin degludec,No Interaction
Alfuzosin,Nitrous acid,Moderate
Strontium chloride Sr-89,Zanubrutinib,Moderate
Flumazenil,Zoledronic acid,No Interaction
Bedaquiline,Macimorelin,Major
Danaparoid,Prednisolone (ophthalmic),No Interaction
Coenzyme M,Guanethidine,No Interaction
Interferon alfa-n1,Iohexol,Major
Apomorphine,Amyl Nitrite,Moderate
Fluoxetine,Promethazine,Moderate
Diiodohydroxyquinoline,Vismodegib,No Interaction
Pomalidomide,Cobicistat,Moderate
Digoxin Immune Fab (Ovine),Arsenic trioxide,Major
Amiodarone,Tropicamide,No Interaction
Methylphenidate,Promethazine,Moderate
Prucalopride,Cobicistat,Minor
Isometheptene,Midostaurin,No Interaction
Propranolol,Sevelamer,Unknown
Cyclophosphamide,Ramelteon,No Interaction
Diltiazem,Iopodic acid,Moderate
Flurandrenolide (topical),Scopolamine (ophthalmic),No Interaction
Atezolizumab,Atropine,No Interaction
Gentamicin,Iodixanol,Major
Dexbrompheniramine,Histamine,Moderate
Doxylamine,Promethazine,Moderate
Dimercaprol,Olodaterol,No Interaction
Bevacizumab,Iothalamic acid,No Interaction
Sorafenib,Deferiprone,Major
Folic acid,Lansoprazole,Unknown
Obeticholic acid,Vecuronium,No Interaction
Isoprenaline,Niacin,No Interaction
Telmisartan,Triclabendazole,No Interaction
Chlorpheniramine,Epirubicin,No Interaction
Mesalazine,Mirabegron,No Interaction
Lonafarnib,Paromomycin,No Interaction
Calcipotriol (topical),Ticagrelor,No Interaction
Dexbrompheniramine,Iodide I-131,Moderate
Deferasirox,Lonafarnib,Moderate
Orciprenaline,Methylene blue,Moderate
Etidronic acid,Magnesium carbonate,Moderate
Cefpodoxime,Acetylcysteine,Unknown
Calcitriol (topical),Calcium acetate,Moderate
Anastrozole,Vinorelbine,No Interaction
Fosnetupitant,Piperacillin,No Interaction
Ioxilan,Remdesivir,Moderate
Cefepime,Porfimer sodium,No Interaction
Diazoxide,Fosphenytoin,Moderate
Oxytocin,Macimorelin,Major
Valsartan,Iopromide,Unknown
Insulin human,Nelarabine,No Interaction
Methimazole,Typhoid vaccine (inactivated),No Interaction
Caffeine,Ibuprofen,Unknown
Triazolam,Deferasirox,Moderate
Pemetrexed,Deferiprone,Major
Promazine,Phentolamine,Moderate
Promethazine,Miconazole,Unknown
Memantine,Ramucirumab,No Interaction
Cobicistat,Sonidegib,Major
Riociguat,Cobicistat,Major
Magnesium oxide,Olmesartan,No Interaction
Isosorbide dinitrate,Lonafarnib,No Interaction
Dicyclomine,Secretin human,Minor
Grepafloxacin,Phendimetrazine,No Interaction
Prednisone,Promethazine,Unknown
Methdilazine,Magnesium carbonate,Minor
Metolazone,Ioversol,Moderate
Oxcarbazepine,Promethazine,Moderate
Filgrastim,Meropenem,No Interaction
Promethazine,Dapagliflozin,Moderate
Etidronic acid,Tetraferric tricitrate decahydrate,Moderate
Temsirolimus,Iopromide,Major
Flurbiprofen,Macimorelin,Moderate
Carvedilol,Galactose,Unknown
Levofloxacin,Lonafarnib,No Interaction
Naphazoline (ophthalmic),Revefenacin,No Interaction
Anastrozole,Daclatasvir,No Interaction
Avanafil,Chloroquine,No Interaction
Potassium chloride,Ioversol,Unknown
Cevimeline,Toremifene,No Interaction
Phenytoin,Magnesium carbonate,Moderate
Edrophonium,Mepenzolate,Moderate
Phentolamine,Procarbazine,Moderate
Diatrizoate,Sotalol,Moderate
Ioversol,Tyropanoic acid,Moderate
Insulin detemir,Fludeoxyglucose (18F),Moderate
Sildenafil,Galactose,Unknown
Folic acid,Ondansetron,Unknown
Physostigmine,Iopamidol,Major
Carteolol,Ethanol,Moderate
Chromium picolinate,Sugammadex,No Interaction
Scopolamine,Promethazine,Moderate
Esmolol,Ioversol,Moderate
Tolterodine,Promethazine,Moderate
Esketamine,Pexidartinib,No Interaction
Cisatracurium,Decitabine,No Interaction
Regadenoson,Trastuzumab emtansine,No Interaction
Carteolol (ophthalmic),Iobenguane (I-131),Major
Hepatitis B Vaccine (Recombinant),Mesalazine,No Interaction
Telmisartan,Iopromide,Unknown
Codeine,Paramethadione,No Interaction
Conjugated estrogens,Rivastigmine,No Interaction
Berotralstat,Raltegravir,No Interaction
Mycophenolic acid,Sodium cellulose phosphate,No Interaction
Alprazolam,Leucovorin,Unknown
Warfarin,Iopromide,Unknown
Carteolol,Prednisolone,Moderate
Acetaminophen,Mitoxantrone,No Interaction
Tositumomab (I-131),Warfarin,Major
Carbenicillin,Iodide I-123,Moderate
Capromab pendetide,Flutamide,Moderate
Dexrazoxane,Varicella Zoster Vaccine (Recombinant),Major
Ipratropium (nasal),Venlafaxine,No Interaction
Asparaginase Escherichia coli,Prednisolone,Moderate
Amikacin (liposome),Silver sulfadiazine (topical),No Interaction
Clemastine,Ethanol,Moderate
Carvedilol,Magnesium carbonate,Minor
Chloroprocaine,Valerian,No Interaction
Iodide I-131,Valbenazine,No Interaction
Calcium acetate,Delafloxacin,Moderate
Trimipramine,Iopamidol,Major
